Codigo;Descricao;Unidade;Saldo
6998543;ABRACADEIRA ACO CARBONO;UN;0
6998472;ABRACADEIRA NYLON 250X3,6MM PRETA;UNI;0
6996974;ABR NYLON PRETO 400MMX4,8MM;UN;200
6993403;ABR PVC CINZA 3/4POL MASTER;UNI;0
6992677;ADAP ENGATE RAPIDO FM;UN;0
6997311;ADAPTADOR CONDULETE PVC 3/4POL CZ;UNI;0
6997689;ALCOOL ISOPROPILICO-ISOPROPANOL 99,8%500;LT;1
6992090;BALANCIM PARAFUSADEIRA 0,5KG 1,5KG 1,2M;UNI;0
6993524;BARRAMENTO 1F 80A 12 POLOS 215MM;UNI;0
6997615;BARRAMENTO NEUTRO P/TRILHO DIM 7 POLOS;UNI;0
6997616;BARRAMENTO TERRA P/TRILHO DIM 7 POLOS;UNI;0
7607197;BATERIA 12V 20A 6-DZF-20 CHALWEE;UNI;0
7606501;BICO CORTE 25MM ACETILENO 1502-N6;UNI;0
7606523;BICO CORTE N12 300MM ACETILENO;UNI;0
7606527;BICO CORTE N8 127MM ACETILENO;UNI;0
6991602;BOIA P/CAIXA DAGUA 3/4;UNI;0
7604498;BOMBA VACUO;UN;0
7608712;BOMBONA PC C/BICO DOSADOR 5L;UN;0
7608178;CABECOTE LASER CO2 1-300W;UN;0
7607666;CABO ACO GALVANIZADO 3/16POLX1M;MT;0
7607667;CABO ACO GALVANIZADO 5/32POLX1M;MT;0
7604724;CABO CONEXAO P/SENSOR M12 IFM EVC004 (LARANJA);UNI;0
6997345;CABO FLEX 1VIA 20AWG 100M 750V BR;UNI;0
6997341;CABO FLEX 1VIA 20AWG 100M 750V VM;UNI;0
6991581;CABO FLEX 1 VIA 750V 2.50MM AZ;UNI;0
6992079;CABO FLEX 1 VIA 750V 2.50MM PRETO;UNI;0
6991584;CABO FLEX 1 VIA 750V 2.50MM VD;UNI;0
6993880;CABO FLEXIVEL AZUL 1VIA 25M 1,5MM2;UNI;0
6993877;CABO FLEXIVEL PRETO 1VIA 25M 1,5MM2;UNI;0
6993879;CABO FLEXIVEL VERMELHO 1VIA 25M 1,5MM2;UNI;0
7604374;CABO IGNICAO;UN;0
7604396;CABO IONIZACAO;UN;0
7606792;CABO PP FLEX PT 4VIAS 500V 100M ROLO;UNI;0
6995134;CABO P/SENSOR M12 4 FUROS FM 2M 4A 180°;UNI;0
7608484;CABO VD ENCODER HA BBS40-80 RB1 5,9M;PC;0
6998537;CAIXA CONDULETE 5 ENTRADAS 3/4POL PVC BR;UNI;0
6997824;CANALETA LISA BRANCO 50X20X2000MM C/FITA;UNI;0
6992982;CANO 3/4POL X 3M 25MM MARROM PVC;UNI;0
7602884;CAPA HIDRAULICA PRENS 5/8POL 60X25MM ACO;UNI;0
7600215;CAPA PRENSAGEM MANGUEIRA HIDRÁULICA 1/2;UNI;0
7600264;CAPA PRENSAVEL 1T-2T TRAMAS 3/8 POL;UNI;0
7606825;CAPA PRENS MANGUEIRA HIDRAULICA 3/4POL;UNI;0
7607439;CAPA TERMIN PRENSAVEL 3/4POL R1A/R2AT;UNI;0
7600780;CHAVE FIM CURSO PONT. RME-8111;UN;0
6992598;CHAVE PHILLIPS TOCO 3/16X1.1/2POL;UNI;0
7600970;CHUVEIRO ELETRICO 220V;UN;1
6992939;COLA P/PVC INCOLOR FRASCO 175G TIGRE;UNI;6
7601852;COLA TRAVA ROSCA MEDIO TORQUE;UNI;0
7601221;CONECTOR EMENDA ISOLANTE SEM SOLDA 3VIAS;UN;9
7600385;CONEXÃO HIDRAULICA MACHO;UNI;0
6992989;CONEXAO JOELHO PVC 25MM 90°;UNI;0
6991866;CONEXAO PNEUMATICA 10MM C/ROSCA 3/8;UNI;0
6991693;CONEXAO PNEUMATICA ENGATE EM T 6MM;UNI;0
6997574;CONEXAO PNEUMATICA ENG RAPIDO UNIAO 6MM;UNI;0
6998560;CONEXAO PNEUMATICA T 8MM;UNI;0
6994167;CONEXAO PNEUM ENGATE RAPIDO 8MM;UNI;0
6995262;CONEXAO PNEUM ENGATE RAPIDO UNIAO 10MM;UNI;0
